identifikator|kupac|cena|vrstaKarte|dogadjaj|iskoriscena
555333-1||1000.0|INDIVIDUALNA|555333|false
555333-2||1000.0|INDIVIDUALNA|555333|false
555333-3||1000.0|INDIVIDUALNA|555333|false
555333-4||1000.0|INDIVIDUALNA|555333|false
555333-5||1000.0|INDIVIDUALNA|555333|false
555333-6||1000.0|INDIVIDUALNA|555333|false
555333-7||1000.0|INDIVIDUALNA|555333|false
555333-8||1000.0|INDIVIDUALNA|555333|false
555333-9||1000.0|INDIVIDUALNA|555333|false
555333-10||1000.0|INDIVIDUALNA|555333|false
555333-11||3000.0|GRUPNA|555333|false
555333-12||3000.0|GRUPNA|555333|false
555333-13||3000.0|GRUPNA|555333|false
555333-14||3000.0|GRUPNA|555333|false
555333-15||3000.0|GRUPNA|555333|false
555333-16||3500.0|PORODICNA|555333|false
555333-17||3500.0|PORODICNA|555333|false
555333-18||3500.0|PORODICNA|555333|false
555333-19||3500.0|PORODICNA|555333|false
555333-20||3500.0|PORODICNA|555333|false
112EXIT-1|petrajovanovic|5000.0|INDIVIDUALNA|112EXIT|false
112EXIT-2|petrajovanovic|5000.0|INDIVIDUALNA|112EXIT|false
112EXIT-3|petrajovanovic|5000.0|INDIVIDUALNA|112EXIT|false
112EXIT-4|petrajovanovic|5000.0|INDIVIDUALNA|112EXIT|false
112EXIT-5|anja|5000.0|INDIVIDUALNA|112EXIT|false
112EXIT-6||5000.0|INDIVIDUALNA|112EXIT|false
112EXIT-7||5000.0|INDIVIDUALNA|112EXIT|false
112EXIT-8||5000.0|INDIVIDUALNA|112EXIT|false
112EXIT-9||5000.0|INDIVIDUALNA|112EXIT|false
112EXIT-10||5000.0|INDIVIDUALNA|112EXIT|false
112EXIT-11|petrajovanovic|15000.0|GRUPNA|112EXIT|false
112EXIT-12|petrajovanovic|15000.0|GRUPNA|112EXIT|false
112EXIT-13|petrajovanovic|15000.0|GRUPNA|112EXIT|false
112EXIT-14|mikaradulovic|15000.0|GRUPNA|112EXIT|false
112EXIT-15||15000.0|GRUPNA|112EXIT|false
112EXIT-16|mikaradulovic|10000.0|PORODICNA|112EXIT|false
112EXIT-17||10000.0|PORODICNA|112EXIT|false
112EXIT-18||10000.0|PORODICNA|112EXIT|false
112EXIT-19||10000.0|PORODICNA|112EXIT|false
112EXIT-20||10000.0|PORODICNA|112EXIT|false
2026SAJAMKNJIGA-1|petrajovanovic|200.0|INDIVIDUALNA|2026SAJAMKNJIGA|true
2026SAJAMKNJIGA-2|petrajovanovic|200.0|INDIVIDUALNA|2026SAJAMKNJIGA|true
2026SAJAMKNJIGA-3||200.0|INDIVIDUALNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-4||200.0|INDIVIDUALNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-5||200.0|INDIVIDUALNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-6||200.0|INDIVIDUALNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-7||200.0|INDIVIDUALNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-8||200.0|INDIVIDUALNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-9||200.0|INDIVIDUALNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-10||200.0|INDIVIDUALNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-11||500.0|GRUPNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-12||500.0|GRUPNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-13||500.0|GRUPNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-14||500.0|GRUPNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-15||500.0|GRUPNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-16||500.0|GRUPNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-17||500.0|GRUPNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-18||500.0|GRUPNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-19||500.0|GRUPNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-20||500.0|GRUPNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-21||350.0|PORODICNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-22||350.0|PORODICNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-23||350.0|PORODICNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-24||350.0|PORODICNA|2026SAJAMKNJIGA|false
2026SAJAMKNJIGA-25||350.0|PORODICNA|2026SAJAMKNJIGA|false
2026PUTOVANJEITALIJA-1||20000.0|INDIVIDUALNA|2026PUTOVANJEITALIJA|false
2026PUTOVANJEITALIJA-2||20000.0|INDIVIDUALNA|2026PUTOVANJEITALIJA|false
2026PUTOVANJEITALIJA-3||20000.0|INDIVIDUALNA|2026PUTOVANJEITALIJA|false
2026PUTOVANJEITALIJA-4||20000.0|INDIVIDUALNA|2026PUTOVANJEITALIJA|false
2026PUTOVANJEITALIJA-5||20000.0|INDIVIDUALNA|2026PUTOVANJEITALIJA|false
2026PUTOVANJEITALIJA-6||40000.0|GRUPNA|2026PUTOVANJEITALIJA|false
2026PUTOVANJEITALIJA-7||40000.0|GRUPNA|2026PUTOVANJEITALIJA|false
2026PUTOVANJEITALIJA-8||40000.0|GRUPNA|2026PUTOVANJEITALIJA|false
2026PUTOVANJEITALIJA-9||40000.0|GRUPNA|2026PUTOVANJEITALIJA|false
2026PUTOVANJEITALIJA-10||40000.0|GRUPNA|2026PUTOVANJEITALIJA|false
2026PUTOVANJEITALIJA-11||35000.0|PORODICNA|2026PUTOVANJEITALIJA|false
2026PUTOVANJEITALIJA-12||35000.0|PORODICNA|2026PUTOVANJEITALIJA|false
2026PUTOVANJEITALIJA-13||35000.0|PORODICNA|2026PUTOVANJEITALIJA|false
